target,exp_return,vol,sharpe,weights_json
0.17709543132261368,0.17709543132261368,0.20198254180004202,0.7777673749552795,"{""AAPL"": 7.775407683268248e-17, ""MSFT"": 4.336808689942018e-18, ""SPY"": 0.9999999999999999}"
0.1793508550582852,0.17935085492304578,0.20257194281709237,0.7866383305951108,"{""AAPL"": 0.0, ""MSFT"": 0.017628058412618414, ""SPY"": 0.9823719415873816}"
0.18160627879395674,0.1816062786784159,0.2032051914792567,0.7952861710962378,"{""AAPL"": 0.0, ""MSFT"": 0.035256118036209566, ""SPY"": 0.9647438819637905}"
0.18386170252962827,0.18386170243378602,0.20388187918143086,0.8037090058796663,"{""AAPL"": 1.1218195436202299e-17, ""MSFT"": 0.052884177659800836, ""SPY"": 0.9471158223401992}"
0.1861171262652998,0.18611712618915613,0.2046015749205805,0.8119054130137427,"{""AAPL"": 0.0, ""MSFT"": 0.07051223728339208, ""SPY"": 0.9294877627166079}"
0.18837255000097133,0.18837254994452626,0.20536382653333185,0.8198744286506482,"{""AAPL"": 0.0, ""MSFT"": 0.08814029690698316, ""SPY"": 0.9118597030930169}"
0.19062797373664286,0.19062797369989637,0.2061681620033585,0.8276155350170743,"{""AAPL"": 5.2193078849936453e-17, ""MSFT"": 0.10576835653057454, ""SPY"": 0.8942316434694254}"
0.1928833974723144,0.19288339747172362,0.20701212097949392,0.8351365932280314,"{""AAPL"": 0.0029686998850380975, ""MSFT"": 0.12030880361365702, ""SPY"": 0.8767224965013048}"
0.19513882120798592,0.19513882120579448,0.20788463616006025,0.8424808318732453,"{""AAPL"": 0.01125606181213129, ""MSFT"": 0.12931754664584474, ""SPY"": 0.8594263915420239}"
0.19739424494365745,0.19739424496554095,0.20878445457610423,0.8496525535184365,"{""AAPL"": 0.01848626096813312, ""MSFT"": 0.13942579784238393, ""SPY"": 0.8420879411894829}"
0.19964966867932898,0.1996496686757751,0.20971108072856537,0.8566532014028408,"{""AAPL"": 0.025716487371245822, ""MSFT"": 0.14953402031343452, ""SPY"": 0.8247494923153197}"
0.20190509241500051,0.2019050924475454,0.21066416091424148,0.8634838107161308,"{""AAPL"": 0.03294667781414331, ""MSFT"": 0.1596422806660623, ""SPY"": 0.8074110415197945}"
0.20416051615067204,0.2041605161780383,0.21164333770432442,0.8701455863227743,"{""AAPL"": 0.04017684524267011, ""MSFT"": 0.16975056463229532, ""SPY"": 0.7900725901250346}"
0.20641593988634357,0.2064159398826944,0.21264825060501927,0.8766398940612509,"{""AAPL"": 0.047407096641716606, ""MSFT"": 0.17985876106259024, ""SPY"": 0.7727341422956931}"
0.2086713636220151,0.2086713636001705,0.21367853652892618,0.882968250648935,"{""AAPL"": 0.054637361348965144, ""MSFT"": 0.189966943751815, ""SPY"": 0.7553956948992199}"
0.21092678735768663,0.2109267871382292,0.21474701750587005,0.8890777127231129,"{""AAPL"": 0.05163059784361935, ""MSFT"": 0.21072220262404964, ""SPY"": 0.737647199532331}"
0.21318221109335816,0.21318221089039746,0.21581792600509306,0.8951166127221452,"{""AAPL"": 0.06333294877086501, ""MSFT"": 0.21617916767589784, ""SPY"": 0.7204878835532371}"
0.2154376348290297,0.2154376346425657,0.2169181806216335,0.9009739713033279,"{""AAPL"": 0.0750352996981106, ""MSFT"": 0.22163613272774596, ""SPY"": 0.7033285675741434}"
0.21769305856470123,0.21769305839473402,0.2180473371193647,0.9066520188068694,"{""AAPL"": 0.0867376506253563, ""MSFT"": 0.2270930977795942, ""SPY"": 0.6861692515950495}"
0.21994848230037276,0.21994848214690232,0.21920494886539074,0.9121531387947204,"{""AAPL"": 0.09844000155260195, ""MSFT"": 0.23255006283144242, ""SPY"": 0.6690099356159557}"
0.22220390603604429,0.22220390589907058,0.2203905674726069,0.9174798550496186,"{""AAPL"": 0.11014235247984754, ""MSFT"": 0.23800702788329056, ""SPY"": 0.651850619636862}"
0.22445932977171582,0.22445932977400118,0.22157015474388078,0.9227746851119977,"{""AAPL"": 0.1052487496987227, ""MSFT"": 0.2607247069712872, ""SPY"": 0.6340265433299901}"
0.22671475350738735,0.2267147535373799,0.2227901953185719,0.9278449316039002,"{""AAPL"": 0.11247895893632165, ""MSFT"": 0.2708329477107951, ""SPY"": 0.6166880933528833}"
0.22897017724305888,0.22897017724655627,0.2240322993869671,0.9327680777208189,"{""AAPL"": 0.11970915487384345, ""MSFT"": 0.2809412018594838, ""SPY"": 0.5993496432666727}"
0.2312256009787304,0.23122560094458564,0.22529610204980424,0.937546628737908,"{""AAPL"": 0.12693934164363463, ""MSFT"": 0.29104946545599786, ""SPY"": 0.5820111929003675}"
0.2334810247144019,0.23348102467566467,0.22658124024745493,0.9421831412102645,"{""AAPL"": 0.1341695675029403, ""MSFT"": 0.30115768865555853, ""SPY"": 0.5646727438415012}"
0.23573644845007347,0.2357364485063495,0.227887353064185,0.9466802154904438,"{""AAPL"": 0.14139977023530084, ""MSFT"": 0.3112659366869298, ""SPY"": 0.5473342930777694}"
0.23799187218574497,0.2379918721446795,0.22921408177679758,0.9510404878045584,"{""AAPL"": 0.14862996997782107, ""MSFT"": 0.3213741863244845, ""SPY"": 0.5299958436976944}"
0.24024729592141653,0.24024729593001082,0.23056107068946943,0.9552666253300425,"{""AAPL"": 0.1558601478401377, ""MSFT"": 0.33148245986760544, ""SPY"": 0.5126573922922568}"
0.24250271965708803,0.24250271959366415,0.23192796664292825,0.9593613172844523,"{""AAPL"": 0.1630903833776462, ""MSFT"": 0.3415906724743086, ""SPY"": 0.4953189441480453}"
0.2447581433927596,0.2447581433215458,0.23331441986586043,0.9633272707737743,"{""AAPL"": 0.1703205584352633, ""MSFT"": 0.35169894848545513, ""SPY"": 0.47798049307928153}"
0.2470135671284311,0.247013567137144,0.23472008381080461,0.9671672038091448,"{""AAPL"": 0.1775507462053103, ""MSFT"": 0.3618072119605481, ""SPY"": 0.46064204183414154}"
0.24926899086410265,0.24926899096699517,0.23614461537581316,0.9708838399813786,"{""AAPL"": 0.18478101929443996, ""MSFT"": 0.3719153868104588, ""SPY"": 0.44330359389510116}"
0.25152441459977415,0.25152441451798524,0.237587674992678,0.9744799031562575,"{""AAPL"": 0.19201122558697192, ""MSFT"": 0.3820236289530013, ""SPY"": 0.4259651454600268}"
0.2537798383354457,0.25377983824989464,0.23904892740813677,0.9779581142012571,"{""AAPL"": 0.19924139969896862, ""MSFT"": 0.39213190597912545, ""SPY"": 0.40862669432190585}"
0.2560352620711172,0.2560352621789937,0.24052804106571965,0.981321184562018,"{""AAPL"": 0.20647160979025553, ""MSFT"": 0.4022401471259961, ""SPY"": 0.39128824308374843}"
0.25829068580678877,0.2582906857351206,0.24202468811961672,0.9845718120184059,"{""AAPL"": 0.2137017831515898, ""MSFT"": 0.4123484235589607, ""SPY"": 0.3739497932894496}"
0.26054610954246027,0.2605461096843493,0.24353854582368217,0.9877126796121247,"{""AAPL"": 0.22093200443987532, ""MSFT"": 0.4224566532176619, ""SPY"": 0.35661134234246283}"
0.2628015332781318,0.262801533179477,0.24506929466953575,0.9907464478848046,"{""AAPL"": 0.2281621758945484, ""MSFT"": 0.43256493115689965, ""SPY"": 0.33927289294855195}"
0.26505695701380333,0.2650569571270557,0.24661662073700782,0.99367575630024,"{""AAPL"": 0.2353924388485354, ""MSFT"": 0.44267311746806176, ""SPY"": 0.3219344436834028}"
0.2673123807494749,0.26731238089926423,0.24818021354302225,0.9965032158230149,"{""AAPL"": 0.2426226574898271, ""MSFT"": 0.45278134849622004, ""SPY"": 0.3045959940139528}"
0.2695678044851464,0.2695678046398536,0.24975976767469918,0.9992314092992927,"{""AAPL"": 0.24985287975611087, ""MSFT"": 0.4628895755070538, ""SPY"": 0.28725754473683524}"
0.27182322822081795,0.2718232281017677,0.25135498204513596,1.0018628875100142,"{""AAPL"": 0.2570830155928711, ""MSFT"": 0.47299789023130506, ""SPY"": 0.2699190941758239}"
0.27407865195648945,0.27407865183504015,0.25296556077679433,1.004400168366112,"{""AAPL"": 0.26431321783695266, ""MSFT"": 0.4831061380091532, ""SPY"": 0.2525806441538942}"
0.276334075692161,0.2763340758566374,0.2545912123001098,1.0068457333651921,"{""AAPL"": 0.2715434493442265, ""MSFT"": 0.4932143576051607, ""SPY"": 0.2352421930506128}"
0.2785894994278325,0.27858949930178456,0.2562316491069101,1.0092020256010241,"{""AAPL"": 0.27877362107631914, ""MSFT"": 0.503322634865226, ""SPY"": 0.21790374405845497}"
0.28084492316350407,0.28084492303519304,0.25788658966442235,1.0114714509762615,"{""AAPL"": 0.28600386152479773, ""MSFT"": 0.5134308429094435, ""SPY"": 0.20056529556575883}"
0.28310034689917557,0.28310034676861173,0.25955575633814054,1.0136563737999067,"{""AAPL"": 0.29323401522113945, ""MSFT"": 0.5235391411807788, ""SPY"": 0.18322684359808175}"
0.2853557706348471,0.28535577050203687,0.26123887643802063,1.0157591171733313,"{""AAPL"": 0.3004642310563088, ""MSFT"": 0.5336473748243344, ""SPY"": 0.1658883941193568}"
0.28761119437051863,0.2876111945378797,0.26293568223402036,1.0177819619769142,"{""AAPL"": 0.3076944946000844, ""MSFT"": 0.5437555612119435, ""SPY"": 0.14854994418797213}"
0.2898666181061902,0.2898666182763266,0.26464591003751126,1.01972714499187,"{""AAPL"": 0.3149246989730631, ""MSFT"": 0.5538638068160625, ""SPY"": 0.13121149421087436}"
0.2921220418418617,0.2921220416898172,0.26636930128937264,1.0215968595952993,"{""AAPL"": 0.3221548177892951, ""MSFT"": 0.5639721388641373, ""SPY"": 0.11387304334656756}"
0.2943774655775332,0.2943774654357676,0.2681056026421324,1.0233932552390814,"{""AAPL"": 0.32938508650722603, ""MSFT"": 0.5740803176045807, ""SPY"": 0.0965345958881933}"
0.29663288931320475,0.296632889169204,0.2698545646390203,1.0251184356998033,"{""AAPL"": 0.3366152795419119, ""MSFT"": 0.5841885749619931, ""SPY"": 0.07919614549609505}"
0.2988883130488763,0.29888831291575757,0.27161594273040884,1.0267744599681576,"{""AAPL"": 0.3438454219850841, ""MSFT"": 0.5942968850399096, ""SPY"": 0.06185769297500637}"
0.3011437367845478,0.30114373696853486,0.2733894971669846,1.0283633419787668,"{""AAPL"": 0.35107562645010204, ""MSFT"": 0.6044051330050629, ""SPY"": 0.04451924054483512}"
0.3033991605202193,0.3033991607069736,0.2751749920289961,1.0298870497545463,"{""AAPL"": 0.3583058957801966, ""MSFT"": 0.6145133110501123, ""SPY"": 0.02718079316969111}"
0.30565458425589087,0.3056545841029563,0.27697219636332554,1.0313475065498683,"{""AAPL"": 0.36553603718725286, ""MSFT"": 0.6246216194656367, ""SPY"": 0.009842343347110476}"
0.30791000799156243,0.3079100081133457,0.2821552829188919,1.0203955961232454,"{""AAPL"": 0.5599092587682918, ""MSFT"": 0.4400907412317082, ""SPY"": 1.1102230246251568e-16}"
0.31016543172723393,0.31016543171039795,0.3154557157147687,0.9198293682932094,"{""AAPL"": 0.9999999967148806, ""MSFT"": 3.2851192981186978e-09, ""SPY"": 0.0}"
